Time,time
1938,43213
1939,43214
1940,43215
1941,43216
1942,43217
1943,43218
1944,43219
1945,43220
1946,43221
1947,43222
1948,43223
1949,43224
1950,43225
1951,43226
1952,43227
1953,43228
1954,43229
1955,43230
1956,43231
1957,43232
1958,43233
1959,43234
1960,43235
1961,43236
1962,43237
1963,43238
1964,43239
1965,43240
1966,43241
1967,43242
1968,43243
1969,43244
1970,43245
1971,43246
1972,43247
1973,43248
1974,43249
1975,43250
1976,43251
1977,43252
1978,43253
1979,43254
1980,43255
1981,43256
1982,43257
1983,43258
1984,43259
1985,43260
1986,43261
1987,43262
1988,43263
1989,43264
1990,43265
1991,43266
1992,43267
1993,43268
1994,43269
1995,43270
1996,43271
1997,43272
1998,43273
1999,43274
2000,43275
2001,43276
2002,43277
2003,43278
2004,43279
2005,43280
2006,43281
2007,43282
2008,43283
2009,43284
2010,43285
2011,43286
2012,43287
2013,43288
2014,43289
2015,43290
2016,43291
2017,43292
2018,43293
2019,43294
2020,43295
2021,43296
2022,43297
2023,43298
2024,43299
2025,43300
2026,43301
2027,43302
2028,43303
2029,43304
2030,43305
2031,43306
2032,43307
2033,43308
2034,43309
2035,43310
2036,43311
2037,43312
2038,43313
2039,43314
2040,43315
2041,43316
2042,43317
2043,43318
2044,43319
2045,43320
2046,43321
2047,43322
2048,43323
2049,43324
2050,43325
2051,43326
2052,43327
2053,43328
2054,43329
2055,43330
2056,43331
2057,43332
2058,43333
2059,43334
2060,43335
2061,43336
2062,43337
2063,43338
2064,43339
2065,43340
2066,43341
2067,43342
2068,43343
2069,43344
2070,43345
2071,43346
2072,43347
2073,43348
2074,43349
2075,43350
2076,43351
2077,43352
2078,43353
2079,43354
2080,43355
2081,43356
2082,43357
2083,43358
2084,43359
2085,43360
2086,43361
2087,43362
2088,43363
2089,43364
2090,43365
2091,43366
2092,43367
2093,43368
2094,43369
2095,43370
2096,43371
2097,43372
2098,43373
2099,43374
2100,43375
2101,43376
2102,43377
2103,43378
2104,43379
2105,43380
2106,43381
2107,43382
2108,43383
2109,43384
2110,43385
2111,43386
2112,43387
2113,43388
2114,43389
2115,43390
2116,43391
2117,43392
2118,43393
2119,43394
2120,43395
2121,43396
2122,43397
2123,43398
2124,43399
2125,43400
2126,43401
2127,43402
2128,43403
2129,43404
2130,43405
2131,43406
2132,43407
2133,43408
2134,43409
2135,43410
2136,43411
2137,43412
2138,43413
2139,43414
2140,43415
2141,43416
2142,43417
2143,43418
2144,43419
2145,43420
2146,43421
2147,43422
2148,43423
2149,43424
2150,43425
2151,43426
2152,43427
2153,43428
2154,43429
2155,43430
2156,43431
2157,43432
2158,43433
2159,43434
2160,43435
2161,43436
2162,43437
2163,43438
2164,43439
2165,43440
2166,43441
2167,43442
2168,43443
2169,43444
2170,43445
2171,43446
2172,43447
2173,43448
2174,43449
2175,43450
2176,43451
2177,43452
2178,43453
2179,43454
2180,43455
2181,43456
2182,43457
2183,43458
2184,43459
